,Frozen Layers,Initial LR,LR Decay,Max Epochs,Batch Size,Train Loss,Train Accuracy,Train AUC,Val Loss,Val Accuracy,Val AUC
0,130.0,0.008480131121858135,0.7772124463133392,7.0,64.0,0.0023927236907184124,0.9997714757919312,0.9999292492866516,0.3731773495674133,0.92595636844635,0.9754425883293152
1,130.0,0.03532574974083212,0.8313191608274316,7.0,64.0,0.07308553159236908,0.9715238809585572,0.9977025985717772,0.4424973130226135,0.8914027214050293,0.9695728421211244
2,130.0,0.08522107024153938,0.8443465103490673,7.0,64.0,0.12103499472141264,0.9564859867095948,0.9947181940078736,0.2843412756919861,0.907034158706665,0.9789958596229552
3,130.0,0.026034755513459164,0.8502491165231847,7.0,64.0,0.05241664499044418,0.9812139868736268,0.9991770386695862,0.34433379769325256,0.8967503309249878,0.9753814339637756
4,130.0,0.004586621754203088,0.8302905595001837,7.0,64.0,0.0023423298262059693,0.9999085664749146,0.999930739402771,0.3253247141838074,0.9276018142700196,0.9783814549446106
5,130.0,0.030274863099705056,0.7002186188425805,7.0,64.0,0.006769218947738409,0.9990858435630798,0.9999969601631165,0.3518885374069214,0.9210201501846312,0.9742606878280641
6,130.0,0.0015318608215674125,0.7882585916974569,7.0,64.0,0.0012229369021952152,0.9999085664749146,0.9999641180038452,0.28568461537361145,0.929658591747284,0.9812222123146056
7,130.0,0.0014168049790538426,0.92144351607466,7.0,64.0,0.059501629322767265,0.9804826974868774,0.9981321692466736,0.36124613881111145,0.9082682132720948,0.9753692150115968
8,130.0,0.0018103902823310859,0.8537433530358882,7.0,64.0,0.002002019202336669,0.9999085664749146,0.9999307990074158,0.2844608724117279,0.9345948100090028,0.9825274348258972
9,130.0,0.014815835712941443,0.7928118771876187,7.0,64.0,0.006528485100716353,0.998857319355011,0.9999212622642516,0.3992425501346588,0.9169065952301024,0.9737390279769896
10,130.0,0.0010536583210479645,0.7899119273027533,7.0,64.0,0.0018704487010836601,0.9999085664749146,0.9999305605888368,0.27316680550575256,0.9313039779663086,0.9829207062721252
11,130.0,0.03260370537090836,0.70268835821117,7.0,64.0,0.025183733552694317,0.9948350191116332,0.9998098611831664,0.3130726516246796,0.910736322402954,0.9773568511009216
12,130.0,0.0031205439168464576,0.7217324479726362,7.0,64.0,0.0011433769250288606,0.9999085664749146,0.99993097782135,0.28725019097328186,0.9341834783554076,0.9807858467102052
13,130.0,0.03691484586535247,0.7836593649533293,7.0,64.0,0.06807199120521545,0.9772374033927916,0.9984660148620604,0.30573567748069763,0.907856822013855,0.9760696291923524
14,130.0,0.007808433959029701,0.8177915567179396,7.0,64.0,0.004378477577120066,0.9996800422668456,0.9998920559883118,0.3466620147228241,0.9206088185310364,0.9761120676994324
15,130.0,0.007894051593210449,0.9338363148952074,7.0,64.0,0.016465896740555763,0.9947893023490906,0.9997532963752748,0.3819067776203156,0.9169065952301024,0.9743172526359558
